Time(d),Time(t),Link Quality(/70),Signal Level(-100),lat,lon
2024-02-27,16:56:55,27,-83,36.1021694,129.38477221
2024-02-27,16:56:59,38,-72,36.10220047,129.38472852
2024-02-27,16:57:03,37,-73,36.10224483,129.38469207
2024-02-27,16:57:07,37,-73,36.1022848,129.38465762
2024-02-27,16:57:11,41,-69,36.10232176,129.38461987
2024-02-27,16:57:15,44,-66,36.10235517,129.38457781
2024-02-27,16:57:19,27,-83,36.10239061,129.38452933
2024-02-27,16:57:23,33,-77,36.10241976,129.38447282
2024-02-27,16:57:31,43,-67,36.10246349,129.38445
2024-02-27,16:58:10,31,-79,36.10250484,129.38440266
2024-02-27,16:58:13,37,-73,36.10253775,129.38436142
2024-02-27,16:58:16,43,-67,36.10257093,129.38432285
2024-02-27,16:58:20,38,-72,36.10260878,129.38427137
2024-02-27,16:58:24,36,-74,36.10263787,129.38422181
2024-02-27,16:58:28,42,-68,36.10267706,129.38417385
2024-02-27,16:58:37,44,-66,36.10267811,129.3842531
2024-02-27,16:58:41,44,-66,36.10265756,129.38431972
2024-02-27,16:58:44,43,-67,36.10262282,129.38436002
2024-02-27,16:58:48,41,-69,36.1025706,129.38439697
2024-02-27,16:58:52,38,-72,36.10252039,129.38443174
2024-02-27,16:58:56,53,-57,36.10247964,129.3844583
2024-02-27,16:59:00,44,-66,36.10243913,129.38450479
2024-02-27,16:59:04,45,-65,36.10240581,129.38454829
2024-02-27,16:59:08,53,-57,36.10237304,129.3845923
2024-02-27,16:59:12,40,-70,36.10232579,129.3846298
2024-02-27,16:59:16,58,-52,36.10228897,129.3846729
2024-02-27,16:59:20,63,-47,36.10225935,129.38472557
2024-02-27,16:59:24,56,-54,36.10222022,129.38476607
2024-02-27,16:59:28,60,-50,36.10218517,129.38481465
2024-02-27,16:59:32,56,-54,36.10217878,129.38488353
2024-02-27,16:59:35,60,-50,36.10220685,129.38493256
2024-02-27,16:59:39,62,-48,36.10224432,129.38497612
2024-02-27,16:59:43,66,-44,36.10228155,129.38501822
2024-02-27,16:59:47,63,-47,36.1023179,129.38506674
2024-02-27,16:59:51,57,-53,36.10234157,129.38511783
2024-02-27,16:59:55,61,-49,36.10236411,129.38517799
2024-02-27,16:59:59,58,-52,36.10238646,129.38523752
2024-02-27,17:00:03,54,-56,36.10241124,129.38528842
2024-02-27,17:00:07,50,-60,36.10243341,129.38534474
2024-02-27,17:00:11,57,-53,36.10245626,129.38539595
2024-02-27,17:00:16,63,-47,36.10247375,129.38545725
2024-02-27,17:00:20,63,-47,36.10249995,129.38551769
2024-02-27,17:00:24,53,-57,36.10252485,129.38556694
2024-02-27,17:00:28,58,-52,36.10255605,129.3856284
2024-02-27,17:00:32,56,-54,36.10259327,129.38568342
2024-02-27,17:00:36,56,-54,36.10263605,129.38573108
2024-02-27,17:00:39,43,-67,36.10267323,129.38576876
2024-02-27,17:00:42,55,-55,36.10271784,129.38578706
2024-02-27,17:00:46,47,-63,36.10276931,129.38581779
2024-02-27,17:00:50,50,-60,36.10282123,129.3858465
2024-02-27,17:00:54,49,-61,36.10286669,129.38587562
2024-02-27,17:00:58,40,-70,36.10291559,129.3858983
2024-02-27,17:01:02,47,-63,36.10297044,129.3859188
2024-02-27,17:01:06,41,-69,36.10302409,129.38594614
2024-02-27,17:01:09,43,-67,36.10306518,129.38597083
2024-02-27,17:01:13,46,-64,36.10310549,129.38599665
2024-02-27,17:01:17,42,-68,36.10315063,129.38601557
2024-02-27,17:01:23,41,-69,36.1031876,129.38606434
2024-02-27,17:01:27,45,-65,36.1032277,129.38610334
2024-02-27,17:01:31,29,-81,36.10326664,129.38614577
2024-02-27,17:01:35,42,-68,36.10331045,129.3861751
2024-02-27,17:01:39,39,-71,36.10335632,129.38620091
2024-02-27,17:01:44,29,-81,36.10340716,129.38622162
2024-02-27,17:01:48,43,-67,36.10345492,129.38623158
2024-02-27,17:01:54,37,-73,36.10350038,129.38623198
2024-02-27,17:01:58,33,-77,36.10356158,129.38625061
2024-02-27,17:02:04,27,-83,36.10360526,129.38627702
2024-02-27,17:02:19,32,-78,36.10355456,129.38628475
2024-02-27,17:02:26,31,-79,36.10353787,129.38633697
2024-02-27,17:02:39,35,-75,36.10348704,129.38634128
2024-02-27,17:02:46,28,-82,36.10344535,129.38636888
2024-02-27,17:03:04,31,-79,36.10341659,129.38641427
2024-02-27,17:03:29,30,-80,36.10340316,129.3864688
